sub_id,from,to,response,rt
1,12,10,3,9558
1,10,3,7,5746
1,9,13,2,8018
1,9,1,2,4342
1,5,8,6,3533
1,3,13,4,8409
1,11,13,10,4801
1,4,9,10,3228
1,7,8,6,4163
1,10,1,6,5420
1,7,6,3,4681
1,8,4,7,10085
1,12,2,8,6307
1,10,12,3,6838
1,12,9,9,4261
1,7,13,10,5152
1,3,9,10,2803
1,4,6,1,3365
1,12,1,7,3458
1,11,3,6,8273
1,5,9,9,7222
1,9,11,3,4690
1,2,4,10,4129
1,6,3,9,9676
1,2,1,8,3854
1,4,11,3,8848
1,6,12,1,4267
1,2,13,2,4350
1,8,1,3,5235
1,12,7,7,7529
1,3,8,3,9833
1,3,12,8,3151
1,2,3,9,2852
1,7,1,3,5168
1,3,6,1,3938
1,8,3,7,4559
1,7,12,6,5292
1,6,13,3,8081
1,5,6,4,4824
1,2,8,1,3471
1,1,11,6,3076
1,9,5,9,2972
1,11,4,3,7526
1,12,5,7,2627
1,10,8,4,3313
1,4,1,8,3504
1,8,7,2,7007
1,8,6,3,8628
1,2,12,5,7851
1,12,4,7,8164
1,5,12,3,3807
1,5,13,2,3877
1,8,9,8,10875
1,10,5,10,5415
1,2,7,3,4654
1,12,8,8,7769
1,9,4,10,8158
1,6,9,1,3560
1,5,10,7,3901
1,4,8,1,8989
1,6,8,2,5169
1,7,9,3,7304
1,11,6,8,6669
1,5,2,9,2592
1,11,8,7,3918
1,1,8,2,3653
1,11,9,7,6957
1,2,6,3,3024
1,8,10,5,3312
1,6,7,4,2586
1,7,11,4,3663
1,13,10,8,2916
1,5,1,9,2603
1,13,9,7,3615
1,11,12,9,2569
1,13,3,9,6232
1,1,9,2,3852
1,11,5,4,3141
1,7,3,3,5161
1,6,1,4,6664
1,8,11,8,3180
1,13,12,10,2809
1,13,4,9,3732
1,9,10,7,7973
1,4,3,7,4898
1,11,1,9,3795
1,1,2,10,4296
1,9,8,2,4629
1,9,12,6,4055
1,13,1,8,2839
1,1,4,9,2680
1,9,3,10,3894
1,6,5,3,4113
1,9,2,8,4673
1,4,10,6,3920
1,1,13,4,3451
1,1,7,2,3695
1,10,11,7,2410
1,6,11,3,3321
1,9,6,1,4806
1,1,12,2,3978
1,13,2,2,5630
1,3,10,7,3447
1,12,13,10,3090
1,10,9,3,4218
1,4,13,4,3265
1,13,7,1,3493
1,4,12,3,4389
1,1,10,5,3564
1,1,6,2,4068
1,10,2,7,2713
1,3,5,8,2512
1,7,2,3,3195
1,8,12,6,3213
1,10,7,4,5753
1,2,11,7,6617
1,13,8,3,2859
1,7,5,8,3862
1,8,2,2,3816
1,3,4,10,3817
1,10,6,4,4328
1,3,2,8,3739
1,10,13,2,6781
1,13,5,5,4226
1,11,2,3,7431
1,13,11,9,3048
1,3,11,8,2596
1,5,3,6,3485
1,12,11,10,2394
1,2,9,6,8290
1,1,5,8,2463
1,5,4,9,3194
1,4,2,10,3352
1,3,7,7,3616
1,5,7,8,4983
1,6,10,4,3603
1,6,4,3,3765
1,5,11,7,3714
1,11,7,6,3564
1,8,13,8,2949
1,2,10,2,3023
1,3,1,1,3388
1,4,7,7,5553
1,12,3,7,3565
1,10,4,4,3828
1,11,10,6,6246
1,7,10,7,8897
1,8,5,1,4223
1,1,3,4,4153
1,6,2,2,2822
1,2,5,7,2697
1,7,4,7,7076
1,4,5,9,3318
1,12,6,6,2975
1,13,6,3,3356
1,9,7,8,2494
3,2,9,10,21227
3,13,10,3,9779
3,2,1,10,3572
3,6,1,10,3596
3,12,7,10,3270
3,6,3,5,7222
3,11,7,10,4217
3,11,8,10,3297
3,4,8,10,5148
3,12,13,10,6508
3,11,10,2,3346
3,4,5,3,3777
3,8,7,8,4960
3,5,4,7,3459
3,2,4,10,2511
3,12,5,3,3859
3,12,4,2,7093
3,3,5,3,3588
3,9,6,7,2603
3,8,12,8,3343
3,7,1,9,2715
3,13,11,3,3214
3,1,8,9,4189
3,10,2,2,5448
3,11,4,2,3563
3,2,5,3,2684
3,11,1,3,3624
3,3,7,2,3048
3,8,2,9,4332
3,7,5,3,6579
3,2,8,9,4282
3,10,7,1,2803
3,5,1,2,3271
3,5,11,2,9911
3,10,12,2,3917
3,8,5,2,7424
3,7,9,7,4491
3,1,2,10,2319
3,1,9,3,3485
3,4,10,1,2571
3,4,9,2,2748
3,1,6,4,3620
3,5,13,1,2735
3,10,8,2,2957
3,7,6,2,3153
3,5,6,2,3836
3,9,1,2,3445
3,7,2,7,3503
3,9,2,3,2773
3,2,3,10,5103
3,10,3,3,2439
3,11,2,3,2752
3,6,12,2,2697
3,8,11,8,2698
3,3,4,10,3577
3,1,13,3,3511
3,11,12,3,2069
3,9,10,3,4632
3,8,10,3,2368
3,10,9,8,2955
3,7,11,10,3231
3,9,7,4,2500
3,1,11,3,2682
3,11,3,3,2537
3,2,11,4,4144
3,7,8,3,3218
3,3,10,3,2398
3,6,11,3,2840
3,1,4,10,3018
3,6,2,4,2400
3,10,4,3,3426
3,2,12,3,3019
3,9,3,1,7117
3,5,10,3,3135
3,12,8,2,2838
3,12,2,2,2745
3,6,7,2,3506
3,12,1,3,2378
3,8,3,8,3297
3,3,1,4,2277
3,8,1,9,4821
3,3,9,8,4385
3,1,3,3,2551
3,10,6,2,2668
3,5,8,2,2841
3,6,4,2,3402
3,11,6,9,2514
3,4,1,3,3390
3,2,10,1,3762
3,9,13,3,2209
3,7,13,3,2523
3,9,12,3,2963
3,1,5,1,2741
3,6,8,7,2503
3,3,13,3,3812
3,4,12,3,2235
3,8,13,3,2582
3,6,9,7,3610
3,2,6,7,2993
3,13,4,7,3433
3,2,13,7,3565
3,3,12,3,2259
3,12,11,3,4973
3,12,9,3,2997
3,7,12,2,3111
3,9,11,2,2885
3,9,5,2,2629
3,10,13,3,2904
3,10,11,3,2579
3,1,7,3,4831
3,6,5,3,2409
3,13,9,3,3044
3,5,2,7,2579
3,4,11,3,3696
3,11,5,3,2662
3,7,10,3,3247
3,1,12,3,3173
3,1,10,3,4187
3,4,3,10,2924
3,3,2,10,2611
3,5,12,3,3288
3,7,3,4,2608
3,13,7,4,3488
3,4,7,3,2510
3,5,9,3,3181
3,13,3,3,3488
3,13,12,10,2905
3,12,10,3,3119
3,4,6,7,6259
3,7,4,7,3288
3,4,13,3,2769
3,6,10,2,2494
3,8,6,8,3948
3,8,9,10,3237
3,12,3,3,3292
3,3,8,3,2549
3,2,7,8,5152
3,3,6,3,3693
3,13,6,2,2882
3,13,2,8,5022
3,9,4,3,5703
3,10,5,3,3994
3,10,1,3,2556
3,5,3,3,2513
3,6,13,3,8614
3,11,9,7,2529
3,13,5,7,3048
3,11,13,3,3208
3,13,1,3,4372
3,4,2,10,3167
3,13,8,3,3333
3,12,6,3,2702
3,9,8,10,4021
3,5,7,3,3180
3,8,4,3,3385
3,3,11,3,5944
4,10,9,7,3752
4,4,8,6,2643
4,8,3,4,5926
4,5,4,10,2321
4,8,6,7,3605
4,2,8,5,5820
4,12,3,3,2771
4,6,4,7,5408
4,12,4,3,2239
4,2,5,10,2721
4,3,8,3,2421
4,8,12,9,4421
4,6,7,10,6071
4,9,3,3,5855
4,10,7,0,5122
4,3,4,10,7392
4,8,1,8,3024
4,8,11,8,2438
4,11,13,8,2853
4,7,4,10,3757
4,9,1,4,3621
4,7,2,3,6776
4,12,7,0,2559
4,12,8,10,3738
4,11,1,9,4489
4,6,12,3,2956
4,3,5,10,2570
4,13,11,10,2656
4,12,2,3,3939
4,7,5,10,2908
4,12,10,10,2220
4,3,2,10,2054
4,4,10,2,2591
4,2,9,2,3023
4,4,3,10,4255
4,3,1,7,4977
4,5,3,10,2121
4,13,4,7,6239
4,13,12,7,2374
4,11,5,4,3188
4,9,8,8,10075
4,7,12,2,3058
4,5,10,2,3622
4,12,11,8,1889
4,11,7,0,2603
4,7,11,0,2454
4,7,10,0,4887
4,5,2,9,3321
4,1,6,6,5442
4,4,12,3,2806
4,11,10,7,2587
4,5,11,7,5538
4,7,8,7,3990
4,13,9,6,3026
4,7,3,7,8890
4,8,13,7,4287
4,9,2,3,5773
4,10,5,2,2803
4,8,5,7,5854
4,12,6,3,10838
4,4,6,10,2570
4,9,10,7,6471
4,4,5,10,3456
4,13,6,7,9187
4,1,8,10,9639
4,2,7,6,2702
4,5,8,6,3204
4,8,4,6,2054
4,12,9,7,2675
4,13,2,6,7354
4,3,11,6,6039
4,10,13,6,2953
4,10,3,1,3775
4,1,4,9,3410
4,6,9,1,7522
4,9,11,10,2837
4,3,13,3,4087
4,1,9,6,4420
4,3,7,1,4521
4,2,4,10,3104
4,2,6,6,6254
4,2,10,1,2738
4,4,9,1,3221
4,12,5,1,5187
4,11,2,3,4687
4,7,9,0,3255
4,13,10,6,2671
4,8,10,10,3020
4,10,1,10,2686
4,6,13,6,3791
4,12,13,6,2453
4,12,1,8,2407
4,6,10,2,4070
4,9,6,2,4121
4,6,1,6,2424
4,6,3,6,2970
4,1,2,6,5771
4,3,12,0,3473
4,6,11,3,5691
4,7,1,1,6553
4,4,13,3,2637
4,1,5,9,3088
4,5,12,0,3737
4,13,5,2,8054
4,10,8,10,2571
4,11,8,9,3471
4,4,11,4,6971
4,9,5,1,4186
4,11,12,7,3737
4,13,1,3,2272
4,2,12,1,2975
4,5,1,7,2771
4,3,10,0,8138
4,4,7,9,2787
4,10,12,10,2637
4,11,4,4,4221
4,6,8,2,4388
4,1,7,0,3706
4,3,9,0,4337
4,2,13,3,4991
4,6,2,7,4656
4,8,7,6,2772
4,10,2,1,3388
4,5,9,2,6219
4,1,11,7,3060
4,10,11,7,2270
4,11,6,5,4055
4,1,12,7,2570
4,9,13,7,5303
4,13,3,3,3537
4,9,7,0,3203
4,6,5,7,2905
4,2,11,3,3873
4,7,13,0,2892
4,8,2,2,3189
4,1,3,1,8086
4,13,7,0,2438
4,7,6,7,8205
4,5,6,7,2971
4,11,9,10,4042
4,2,1,9,2842
4,5,13,4,3654
4,9,4,0,3141
4,5,7,10,3770
4,1,10,9,2655
4,10,4,0,2937
4,11,3,3,6620
4,3,6,3,2804
4,10,6,2,4220
4,13,8,5,4705
4,4,2,10,2491
4,9,12,7,3342
4,2,3,10,3203
4,4,1,7,5653
4,8,9,3,3154
4,1,13,7,4371
5,10,13,8,4971
5,9,1,6,4481
5,3,12,3,3899
5,1,8,3,3939
5,9,5,7,4452
5,6,13,7,3240
5,4,3,7,3802
5,13,8,4,4159
5,9,10,6,4368
5,1,5,4,5616
5,1,3,5,3779
5,1,11,2,7604
5,1,4,5,6759
5,6,5,4,5566
5,3,13,8,3735
5,10,9,7,6062
5,13,10,8,3601
5,11,13,4,4860
5,9,13,4,4863
5,1,2,6,5439
5,13,3,4,6378
5,8,12,4,5834
5,4,2,9,5543
5,3,9,6,5396
5,5,4,7,5373
5,13,12,3,6578
5,4,9,6,7451
5,8,1,4,5638
5,5,3,7,5974
5,5,1,6,5364
5,10,1,7,5137
5,5,12,4,4346
5,6,8,2,3288
5,12,9,3,12173
5,2,4,8,4363
5,1,13,3,5513
5,2,7,6,5238
5,2,9,6,15973
5,4,8,4,3967
5,8,5,3,3265
5,6,1,4,4677
5,1,7,4,2518
5,2,13,10,5262
5,11,3,5,9865
5,12,10,4,3537
5,8,9,4,4323
5,12,8,3,3832
5,12,13,4,3794
5,6,9,6,3800
5,3,5,5,3856
5,9,8,4,5093
5,9,12,2,4242
5,11,12,4,4361
5,4,12,4,4525
5,9,7,5,8298
5,11,9,5,3585
5,5,9,6,3074
5,11,4,6,3572
5,2,6,6,6226
5,11,6,5,3407
5,2,11,5,5091
5,4,13,7,6293
5,5,13,6,7733
5,4,11,6,3059
5,3,2,7,6835
5,11,5,5,2974
5,12,7,4,4292
5,2,8,3,2678
5,6,3,5,10947
5,12,5,4,5323
5,7,10,7,4242
5,2,3,8,3828
5,8,7,4,3377
5,2,10,7,3232
5,7,4,8,3288
5,2,1,5,5522
5,6,11,5,7627
5,8,10,4,3415
5,8,3,4,4130
5,12,6,3,3511
5,9,2,6,9074
5,10,4,8,2773
5,4,10,7,3410
5,3,11,6,5972
5,7,2,6,2636
5,10,5,6,5495
5,4,6,7,5284
5,13,5,6,2727
5,12,2,4,3345
5,2,12,5,4744
5,1,9,4,5019
5,7,6,6,7566
5,5,7,7,4313
5,3,6,6,6604
5,7,3,7,6459
5,1,12,5,3266
5,13,2,9,2959
5,6,12,4,6730
5,6,7,6,3027
5,3,7,6,3659
5,10,12,4,2965
5,3,8,5,4229
5,5,2,7,3798
5,11,10,6,6322
5,4,1,5,6968
5,3,4,8,3439
5,8,2,5,4141
5,5,11,6,13040
5,4,7,7,7237
5,7,8,4,2542
5,10,11,6,3399
5,2,5,6,6161
5,13,11,6,3980
5,9,6,5,3437
5,13,7,6,5842
5,11,2,6,4448
5,12,1,4,6137
5,13,9,7,7645
5,10,7,6,3057
5,12,3,4,4531
5,7,1,5,4546
5,1,6,4,2836
5,3,10,7,3625
5,7,11,5,4984
5,5,8,4,4300
5,8,6,4,12229
5,5,6,6,14087
5,6,4,8,2940
5,10,6,7,2843
5,1,10,6,2949
5,7,9,6,3567
5,4,5,7,3187
5,8,13,6,8705
5,8,4,5,3356
5,12,11,5,3373
5,11,7,6,2296
5,3,1,4,2796
5,10,2,10,3498
5,5,10,7,7457
5,12,4,5,4925
5,13,6,6,2924
5,8,11,4,3970
5,7,12,5,3110
5,13,1,4,7404
5,9,11,5,3862
5,10,3,6,2822
5,9,3,7,4213
5,13,4,8,6786
5,6,10,7,3131
5,6,2,7,2302
5,9,4,7,5400
5,11,1,5,3462
5,7,5,6,2676
5,7,13,6,4852
5,11,8,4,3912
5,10,8,5,2918
6,8,1,7,5471
6,10,1,4,6043
6,9,10,3,4392
6,4,12,2,3024
6,4,5,1,3781
6,4,10,5,3346
6,1,10,4,3240
6,13,2,1,2754
6,13,9,1,3353
6,10,6,7,3879
6,8,2,4,7404
6,7,4,3,3679
6,10,13,3,2405
6,5,9,2,2981
6,6,9,6,2788
6,6,2,5,2652
6,10,3,3,3437
6,11,6,3,3118
6,11,9,3,2406
6,10,9,7,2868
6,11,1,3,3231
6,7,6,5,3494
6,5,10,1,3430
6,13,12,2,3438
6,1,3,6,4146
6,12,11,3,4447
6,9,12,2,4004
6,5,1,2,2700
6,5,8,3,2073
6,8,6,5,2483
6,1,5,5,2324
6,6,1,2,3146
6,6,11,3,3039
6,8,4,6,2619
6,6,4,4,4095
6,11,13,2,2759
6,8,12,3,2700
6,1,7,2,2685
6,7,2,2,2639
6,2,3,7,3738
6,4,9,5,4637
6,2,11,3,2300
6,6,3,4,4829
6,4,3,5,2208
6,6,8,5,2165
6,7,13,2,2421
6,4,8,4,4387
6,9,5,1,2493
6,8,9,4,3811
6,4,1,4,2477
6,9,13,1,3032
6,2,4,8,4321
6,6,10,4,2461
6,11,3,3,2523
6,2,12,2,4502
6,12,7,1,2595
6,1,6,3,4004
6,12,1,2,3257
6,5,2,2,3817
6,12,8,4,4083
6,2,7,2,3177
6,3,9,4,5647
6,12,13,2,2548
6,4,6,7,4003
6,3,11,4,2814
6,12,6,2,2545
6,7,9,1,3396
6,4,11,2,2443
6,6,12,2,2397
6,5,4,2,2397
6,3,10,4,2784
6,5,7,2,2127
6,4,13,1,2484
6,1,12,4,2591
6,1,4,3,2827
6,8,3,4,2790
6,2,5,2,2780
6,3,4,4,2739
6,8,10,10,3606
6,1,8,6,7194
6,4,7,1,2966
6,5,13,1,2509
6,10,7,0,2834
6,7,3,2,2439
6,3,2,7,2798
6,11,12,2,3986
6,13,11,2,2859
6,8,5,2,2723
6,9,3,3,3726
6,10,8,10,3064
6,2,6,5,3509
6,13,4,2,2809
6,12,5,1,6238
6,1,13,2,2685
6,1,2,6,2599
6,8,11,3,2372
6,2,10,4,4251
6,6,5,2,2748
6,11,4,2,2204
6,10,2,3,2257
6,7,1,1,2879
6,13,7,1,2332
6,2,9,3,3629
6,10,5,2,4112
6,8,13,3,2735
6,9,4,3,3569
6,2,8,3,3290
6,11,10,2,2557
6,3,12,2,3200
6,12,10,2,2730
6,9,2,4,3953
6,9,1,3,2464
6,13,10,1,2976
6,11,5,2,2954
6,9,8,2,2559
6,13,8,0,2196
6,4,2,8,5271
6,7,5,3,2869
6,2,13,1,3752
6,3,6,3,3864
6,5,6,2,2378
6,1,11,4,2720
6,5,3,2,2382
6,10,11,3,3244
6,3,13,1,3270
6,11,8,2,2427
6,5,11,1,3327
6,7,10,1,2851
6,3,1,3,2573
6,12,2,2,4231
6,11,7,2,3818
6,5,12,2,2360
6,7,11,3,2606
6,13,1,1,2231
6,12,9,1,2568
6,11,2,1,2384
6,3,8,3,2140
6,7,8,2,3139
6,6,13,1,4336
6,10,12,2,2409
6,8,7,2,2547
6,10,4,4,2906
6,9,11,2,4290
6,9,6,3,3827
6,12,3,2,3151
6,6,7,5,4031
6,7,12,2,2422
6,13,6,1,2498
6,3,5,2,4075
6,12,4,2,2579
6,13,3,1,3658
6,13,5,1,3422
6,2,1,7,3778
6,9,7,3,2782
6,1,9,3,3789
6,3,7,2,2651
7,10,1,5,12546
7,2,12,6,10957
7,9,2,5,9523
7,12,13,5,6850
7,7,11,5,3151
7,1,2,7,4405
7,8,10,5,9933
7,2,7,5,4046
7,1,12,5,5175
7,5,6,5,11597
7,7,3,5,3772
7,9,6,5,4165
7,11,8,5,3514
7,10,3,6,5873
7,6,7,7,3947
7,2,4,7,8809
7,6,5,5,3408
7,7,6,7,4870
7,6,9,5,2557
7,5,9,5,5424
7,3,8,5,5233
7,6,1,5,2279
7,4,5,6,12612
7,4,6,6,4337
7,8,13,5,3195
7,4,1,6,4669
7,3,10,5,2912
7,9,13,5,3419
7,10,7,5,4347
7,7,9,5,3885
7,1,9,5,2501
7,6,12,5,2215
7,13,4,5,10305
7,11,13,5,2917
7,10,6,6,4205
7,12,11,8,12692
7,1,6,5,2157
7,6,8,5,6007
7,13,2,7,4033
7,12,10,7,4677
7,11,7,5,3977
7,9,10,5,4645
7,11,6,5,9760
7,6,11,5,3006
7,8,1,5,3065
7,6,2,6,22865
7,5,3,8,3497
7,11,10,5,3240
7,3,7,5,2669
7,2,9,5,5302
7,13,5,5,4256
7,10,13,5,3996
7,8,5,5,3371
7,13,1,6,7896
7,12,8,5,6968
7,8,12,5,2504
7,13,10,5,3428
7,5,7,7,2571
7,4,2,8,3721
7,7,10,6,4451
7,13,6,6,3999
7,12,2,6,3340
7,12,1,5,1963
7,7,13,6,5880
7,10,2,5,32666
7,8,3,5,2673
7,8,2,6,2896
7,9,4,6,2942
7,2,5,7,4843
7,1,13,6,3768
7,3,11,5,2365
7,1,11,5,3375
7,1,5,5,2123
7,6,10,6,3480
7,10,5,5,2620
7,12,5,5,2643
7,10,4,6,3401
7,4,9,5,3406
7,9,11,5,2912
7,9,8,7,4161
7,11,2,6,2951
7,5,2,7,5402
7,13,7,6,4268
7,1,4,7,5346
7,8,7,5,2781
7,3,6,6,3426
7,3,1,5,3077
7,6,3,5,9716
7,1,7,5,2484
7,1,3,5,4234
7,13,12,5,2523
7,11,1,5,2668
7,7,12,5,4249
7,7,1,6,3346
7,7,5,8,4578
7,3,9,5,2908
7,3,13,5,2673
7,7,2,6,6912
7,10,11,5,4247
7,5,4,8,4766
7,13,8,5,5612
7,4,7,5,5030
7,2,3,6,10537
7,9,3,5,2501
7,4,13,6,4741
7,12,3,5,2371
7,4,11,5,9745
7,5,10,5,2227
7,12,4,6,10832
7,9,5,5,3084
7,12,7,5,2703
7,11,5,5,8961
7,6,13,7,3152
7,2,1,8,6384
7,7,4,6,3190
7,3,5,8,10836
7,13,9,5,2961
7,5,1,5,2734
7,1,10,5,2908
7,9,7,5,3176
7,10,12,6,4414
7,11,3,5,2775
7,8,11,5,3531
7,5,13,5,3315
7,9,1,5,2443
7,5,12,5,3501
7,9,12,5,2049
7,6,4,6,5943
7,2,8,5,3670
7,12,6,5,2327
7,2,13,6,1992
7,2,11,6,4260
7,1,8,5,2080
7,3,4,7,5819
7,8,9,7,5330
7,4,8,6,3558
7,8,6,5,2431
7,13,11,5,2747
7,10,9,5,3979
7,10,8,5,2724
7,3,2,6,10861
7,13,3,6,6613
7,4,10,5,5240
7,2,6,6,4646
7,11,4,5,2141
7,3,12,5,3223
7,4,12,5,4346
7,8,4,6,4902
7,4,3,5,5963
7,12,9,5,3514
7,11,12,8,6266
7,5,8,5,3802
7,5,11,5,4408
7,11,9,5,2548
7,7,8,5,2928
7,2,10,6,2425
8,1,3,1,15143
8,5,13,1,7163
8,1,12,1,11369
8,11,9,8,3349
8,4,13,1,3576
8,5,4,4,6979
8,12,13,8,2632
8,10,4,4,7498
8,11,8,1,3863
8,4,1,8,5111
8,10,1,2,9874
8,13,3,1,11061
8,8,5,7,12950
8,12,4,1,5725
8,4,3,8,4144
8,6,4,8,3717
8,5,6,1,11376
8,1,10,2,10925
8,9,6,1,3136
8,1,11,1,7477
8,9,1,1,4679
8,11,5,3,4408
8,3,13,1,5259
8,4,10,2,9150
8,8,3,7,4259
8,3,2,3,10689
8,11,10,4,6608
8,10,2,1,6734
8,3,9,1,4587
8,10,12,8,5523
8,5,8,6,5262
8,2,5,2,242798
8,2,6,8,4050
8,13,6,1,5866
8,10,5,6,4104
8,12,10,8,3119
8,13,5,2,7801
8,12,5,2,6258
8,5,10,7,5379
8,6,10,1,3777
8,3,1,3,4481
8,2,11,1,3227
8,2,7,2,9422
8,8,6,1,4294
8,8,10,8,3101
8,9,10,1,7667
8,9,3,1,8216
8,7,12,2,3023
8,4,7,2,2933
8,10,13,3,6436
8,1,7,1,5945
8,5,2,1,4764
8,10,7,1,4272
8,6,11,1,3477
8,1,8,7,9884
8,7,10,3,3382
8,9,7,1,4210
8,8,7,2,3708
8,12,11,8,3168
8,11,12,8,2200
8,4,5,6,6307
8,7,3,1,3525
8,2,10,2,11216
8,7,6,1,5354
8,5,7,1,2875
8,8,12,3,5198
8,13,8,1,5411
8,3,8,6,5681
8,2,12,1,2910
8,1,2,8,3477
8,4,8,6,3794
8,9,11,8,3290
8,10,6,1,6690
8,13,11,8,3337
8,12,9,3,5352
8,11,6,1,2388
8,3,7,1,3955
8,3,5,1,3665
8,9,2,1,3544
8,2,9,1,2532
8,7,11,2,3493
8,1,6,3,4184
8,12,7,2,4836
8,7,13,1,3492
8,1,5,1,5394
8,4,12,1,8125
8,2,4,8,6459
8,9,8,3,4425
8,3,10,2,11089
8,13,7,1,2801
8,6,2,8,3839
8,9,12,2,4902
8,11,2,1,2766
8,13,9,2,3066
8,10,8,7,4114
8,7,2,1,3294
8,8,9,1,3223
8,8,4,6,3062
8,6,8,1,3897
8,4,11,1,6842
8,6,9,1,3072
8,8,11,1,7041
8,13,2,1,4418
8,4,2,8,3953
8,8,2,3,5396
8,3,6,3,4567
8,5,12,1,5276
8,6,5,1,3853
8,5,11,1,5143
8,7,5,4,5335
8,7,4,2,4999
8,3,4,8,5048
8,11,4,1,5825
8,6,1,2,11264
8,11,3,1,5068
8,10,9,3,7354
8,11,13,8,4469
8,2,3,8,2711
8,3,12,1,11210
8,9,13,3,4224
8,12,3,1,2463
8,4,6,8,2550
8,2,13,1,2455
8,10,3,3,3734
8,7,8,2,3442
8,6,12,1,2684
8,5,1,1,3710
8,12,2,1,5558
8,12,8,2,5140
8,8,1,6,3377
8,9,5,1,4265
8,11,1,1,2621
8,11,7,1,2428
8,12,6,1,3096
8,7,1,1,2229
8,7,9,2,3931
8,2,1,8,6527
8,1,9,1,2589
8,6,3,2,3510
8,6,13,1,2566
8,13,1,1,3823
8,3,11,1,2710
8,4,9,1,2757
8,10,11,3,4206
8,5,3,1,3494
8,12,1,1,2556
8,2,8,3,4665
8,1,13,1,2426
8,13,10,3,3816
8,9,4,1,4856
8,13,12,8,2677
8,5,9,2,4188
8,6,7,1,2489
8,8,13,2,3697
8,1,4,8,3532
8,13,4,1,2716
9,3,5,7,7895
9,9,5,5,10179
9,2,3,7,6425
9,7,12,6,10046
9,12,9,7,4493
9,4,2,7,13436
9,2,10,8,8095
9,5,7,7,3550
9,3,4,5,5366
9,11,2,6,5114
9,6,4,5,3825
9,12,5,8,5587
9,4,10,7,4832
9,5,11,7,22000
9,7,13,7,5838
9,12,1,8,2910
9,10,1,7,3134
9,1,2,7,15155
9,9,7,8,4415
9,8,2,7,5022
9,6,5,6,4023
9,3,2,8,4980
9,7,5,7,7325
9,4,3,5,3964
9,8,5,7,45250
9,2,4,6,2774
9,8,4,8,5007
9,13,4,7,2724
9,1,6,7,7676
9,4,12,6,2810
9,9,10,7,2118
9,7,3,6,2257
9,5,12,7,5798
9,3,1,7,14023
9,3,10,8,2691
9,5,1,6,2117
9,1,4,7,4964
9,7,10,6,2764
9,7,2,8,11279
9,8,3,7,3518
9,8,13,8,5982
9,3,11,6,9871
9,8,1,7,5249
9,8,11,6,3352
9,3,13,6,6378
9,11,5,7,9535
9,4,1,6,5043
9,6,12,5,5604
9,9,8,7,2349
9,13,12,7,3503
9,10,11,8,4047
9,4,5,6,6250
9,5,13,7,2936
9,11,12,8,2918
9,6,3,6,2586
9,10,13,7,3223
9,13,10,8,3806
9,13,5,7,3071
9,9,12,6,3525
9,6,7,7,5645
9,13,7,8,2228
9,4,8,6,3473
